idx,llm_position_clear,llm_full_task_coverage,llm_structured_paragraph_ratio
27,0.0,0.0,0.0
53,0.0,0.0,0.0
101,0.0,0.0,0.0
30,0.0,0.0,0.0
97,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
9,0.0,0.0,0.0
58,0.0,0.0,0.0
13,0.0,0.0,0.0
4,0.0,0.0,0.3333333333333333
55,0.0,1.0,0.3333333333333333
90,0.0,0.0,0.3333333333333333
96,0.0,0.0,0.5
6,0.0,0.0,0.5
92,1.0,1.0,0.5
1,0.0,0.0,0.5
39,0.0,0.0,0.5
99,0.0,0.0,0.5
60,1.0,1.0,0.6666666666666666
74,1.0,1.0,0.6666666666666666
51,1.0,0.0,0.6666666666666666
28,1.0,0.0,0.6666666666666666
32,1.0,0.0,0.6666666666666666
66,1.0,1.0,0.8
0,1.0,0.0,1.0
104,1.0,1.0,1.0
24,1.0,0.0,1.0
25,0.0,1.0,1.0
26,1.0,0.0,1.0
29,1.0,0.0,1.0
31,1.0,0.0,1.0
33,0.0,0.0,1.0
34,1.0,0.0,1.0
35,0.0,0.0,1.0
36,1.0,0.0,1.0
37,1.0,0.0,1.0
38,1.0,0.0,1.0
40,0.0,0.0,1.0
41,0.0,0.0,1.0
42,1.0,0.0,1.0
43,1.0,0.0,1.0
44,1.0,0.0,1.0
45,1.0,0.0,1.0
46,1.0,0.0,1.0
47,1.0,0.0,1.0
48,1.0,0.0,1.0
49,0.0,1.0,1.0
50,1.0,0.0,1.0
3,1.0,0.0,1.0
52,1.0,0.0,1.0
22,1.0,0.0,1.0
54,1.0,0.0,1.0
21,1.0,0.0,1.0
19,1.0,0.0,1.0
18,1.0,0.0,1.0
17,1.0,0.0,1.0
16,1.0,0.0,1.0
61,1.0,0.0,1.0
62,1.0,0.0,1.0
63,1.0,1.0,1.0
64,1.0,1.0,1.0
65,1.0,1.0,1.0
15,0.0,0.0,1.0
67,1.0,1.0,1.0
68,1.0,1.0,1.0
69,1.0,1.0,1.0
70,1.0,1.0,1.0
71,1.0,0.0,1.0
72,1.0,0.0,1.0
73,1.0,1.0,1.0
14,0.0,0.0,1.0
75,1.0,0.0,1.0
77,1.0,1.0,1.0
78,1.0,1.0,1.0
79,1.0,1.0,1.0
80,1.0,1.0,1.0
81,1.0,0.0,1.0
82,1.0,0.0,1.0
83,1.0,1.0,1.0
84,1.0,1.0,1.0
85,1.0,1.0,1.0
86,1.0,0.0,1.0
87,1.0,1.0,1.0
88,1.0,0.0,1.0
89,1.0,0.0,1.0
12,1.0,0.0,1.0
91,1.0,0.0,1.0
10,0.0,0.0,1.0
93,1.0,1.0,1.0
94,1.0,0.0,1.0
95,1.0,1.0,1.0
8,1.0,0.0,1.0
7,0.0,0.0,1.0
5,0.0,0.0,1.0
100,1.0,0.0,1.0
2,0.0,0.0,1.0
102,1.0,1.0,1.0
103,1.0,1.0,1.0
23,1.0,0.0,1.0
