Target,Split,Evaluation,MAE,ACC_EXACT,ACC_0.5,ACC_1.0,MAE_CI95_LOW,MAE_CI95_HIGH
TA,train,oof,0.8752818891290084,0.21863589893383964,0.4017818022491602,0.6636483131298379,0.8599312542789318,0.8915050878168128
TA,dev,raw,0.8601898721563993,0.2247744052502051,0.4224774405250205,0.6702214930270713,0.8248228676157455,0.9004076655575909
TA,dev,calibrated,0.8330376811390907,0.23625922887612796,0.42904019688269074,0.6874487284659557,0.7991662156410626,0.8696972622674227
TA,real_test,raw,0.87958722339227,0.2288512911843277,0.40605520926090827,0.6625111308993766,0.837941616138699,0.9284121793309149
TA,real_test,calibrated,0.8829193265852227,0.2413178984861977,0.39536954585930545,0.661620658949243,0.8373750933125976,0.937600075972604
CC,train,oof,1.0114465979954277,0.1978968891485322,0.34599094493938953,0.5855119030232219,0.9893302491390987,1.0311723264128008
CC,dev,raw,0.9784528506040863,0.2059064807219032,0.3609515996718622,0.6021328958162429,0.930610480116089,1.0210240324212105
CC,dev,calibrated,0.9493927730607797,0.2165709598031173,0.37325676784249384,0.5972108285479901,0.9078387389189528,0.9886280767253967
CC,real_test,raw,1.0313383300448669,0.19412288512911843,0.3544078361531612,0.5939447907390917,0.9824783770873747,1.084301592386864
CC,real_test,calibrated,1.0397102207501792,0.20391807658058772,0.3490650044523598,0.5654496883348175,0.9978455747395867,1.0896220844399742
LR,train,oof,0.9202392633590513,0.23134219366145758,0.396670074485176,0.6560537461662042,0.9014214240234599,0.9414731048131946
LR,dev,raw,0.8901427552475132,0.2165709598031173,0.39622641509433965,0.667760459392945,0.8451130636473448,0.9385049107485075
LR,dev,calibrated,0.8539485733222081,0.2387202625102543,0.42165709598031176,0.667760459392945,0.8099132556507376,0.8952180865391292
LR,real_test,raw,0.9618669873242276,0.21727515583259127,0.38023152270703475,0.6322350845948352,0.917157010233392,1.0171825480573986
LR,real_test,calibrated,0.9714852769001359,0.22439893143365983,0.358860195903829,0.6090828138913624,0.9183186328303461,1.0251029086304266
GR,train,oof,0.9521553020545412,0.23075799620271653,0.3863005695925223,0.632685847816562,0.9341447303435446,0.9700862413829011
GR,dev,raw,0.9142703024932425,0.23133716160787532,0.4109926168990976,0.6554552912223134,0.8666632948739958,0.9625055613098968
GR,dev,calibrated,0.8738459400859364,0.24856439704675964,0.4191960623461854,0.6661197703035275,0.8324060946695262,0.9195925030732107
GR,real_test,raw,0.9973532057156392,0.22172751558325912,0.3722172751558326,0.6197684772929652,0.9444328040151165,1.052321325923892
GR,real_test,calibrated,1.0027023342613521,0.22796081923419412,0.3561887800534283,0.6073018699910953,0.9552708745187786,1.0597141391543854
overall_direct,train,oof,0.8375058389253781,0.20403096246531327,0.36672995472469694,0.6443697969913831,0.8234798106103044,0.8494627632536378
overall_direct,dev,raw,0.7980775522314755,0.2124692370795734,0.39868744872846595,0.667760459392945,0.7668809528039049,0.8312201034782828
overall_direct,dev,calibrated,0.7596184676834001,0.25430680885972107,0.42411812961443807,0.7030352748154225,0.730286460652909,0.7944491780866663
overall_direct,real_test,raw,0.8171086034724977,0.21371326803205698,0.38290293855743546,0.6580587711487088,0.784170988428457,0.8528376155033743
overall_direct,real_test,calibrated,0.8157297611288165,0.2377560106856634,0.38646482635796975,0.6749777382012466,0.783455978081767,0.8527487551908396
overall_from_rubrics,train,oof,0.9017818022491603,0.16810281875273841,0.47758142252081204,0.7211917628158317,0.8871713889294581,0.918869577917336
overall_from_rubrics,dev,raw,0.8445447087776866,0.20016406890894176,0.5086136177194421,0.7481542247744053,0.814181706316653,0.8794196062346186
overall_from_rubrics,dev,calibrated,0.8125759983443673,0.22887612797374898,0.40689089417555374,0.6620180475799836,0.7826808983797326,0.8476694946082763
overall_from_rubrics,real_test,raw,0.9073909171861086,0.18432769367764915,0.45859305431878894,0.7088156723063224,0.8717386464826359,0.9447907390917186
overall_from_rubrics,real_test,calibrated,0.8520256939757725,0.22083704363312556,0.37043633125556547,0.6331255565449688,0.8218520938458486,0.8852826462081227
overall_hybrid_stacked,train,meta_fit,0.8042697383673256,0.24258799474222287,0.40397254271943916,0.655907696801519,0.7889842451110188,0.8193621789365108
overall_hybrid_stacked,dev,raw,0.7678477147326443,0.25922887612797374,0.43478260869565216,0.6841673502871206,0.7356816617178222,0.8055002612803859
overall_hybrid_stacked,dev,calibrated,0.7550350219214852,0.2502050861361772,0.4298605414273995,0.7030352748154225,0.7279277784184861,0.7863714940815218
overall_hybrid_stacked,real_test,raw,0.8041910188222683,0.2377560106856634,0.39536954585930545,0.6669634906500446,0.7688270450524632,0.8409818628329535
overall_hybrid_stacked,real_test,calibrated,0.8300602416979898,0.24577025823686555,0.37310774710596617,0.6589492430988424,0.7966900782382115,0.8649195766108887
